type,price,datetime,prev_candle_idx,curr_candle_idx,prev_high,curr_high,prev_close,curr_close,retracement_pct,num_hits,num_reversals,strength_score,strength
resistance,22750.0,2024-04-09 12:00:00,869,870,22748.8,22750.0,22746.35,22720.5,0.12967032967032965,9,5,70.26,Very Strong
resistance,25277.8,2024-10-03 14:45:00,1114,1115,25277.8,25273.85,25248.05,25246.75,0.12283505684829879,25,6,70.25,Very Strong
resistance,25141.15,2024-10-09 14:00:00,1215,1216,25118.05,25141.15,25111.6,25109.55,0.1256903522710862,64,6,70.25,Very Strong
resistance,22445.15,2024-04-02 11:15:00,736,737,22436.35,22445.15,22432.4,22417.45,0.12341196204971108,49,6,70.25,Very Strong
resistance,24965.25,2024-10-11 11:15:00,1256,1257,24965.25,24961.05,24952.5,24934.3,0.12397232152692535,40,3,70.25,Very Strong
resistance,24946.9,2024-10-08 12:30:00,1183,1184,24946.9,24935.85,24930.75,24915.15,0.12727032216427692,24,3,70.25,Very Strong
resistance,22502.45,2024-04-05 10:00:00,809,810,22502.45,22491.9,22487.25,22474.6,0.12376430122054347,22,4,70.25,Very Strong
resistance,17613.0,2023-04-06 15:00:00,101,102,17613.0,17608.1,17605.65,17591.35,0.12292057003350625,43,3,70.25,Very Strong
resistance,19807.3,2023-10-12 15:15:00,518,519,19807.3,19802.5,19799.2,19782.9,0.12318690583773567,13,3,70.25,Very Strong
resistance,17620.0,2023-04-21 10:15:00,316,317,17619.55,17620.0,17617.65,17597.6,0.12712826333712518,14,5,70.25,Very Strong
resistance,25217.0,2025-10-13 13:45:00,2020,2021,25205.2,25217.0,25198.25,25185.65,0.12432089463456615,9,5,70.25,Very Strong
resistance,25232.45,2025-10-13 09:45:00,2004,2005,25217.25,25232.45,25216.25,25201.3,0.12345214198384008,19,5,70.25,Very Strong
resistance,22596.2,2024-04-12 13:00:00,925,926,22588.0,22596.2,22588.0,22568.05,0.12457846894611242,9,3,70.25,Very Strong
resistance,17696.75,2023-04-11 12:00:00,141,142,17696.75,17693.1,17691.85,17675.65,0.11923093223331145,29,4,70.24,Very Strong
resistance,22591.5,2024-04-12 13:30:00,927,928,22591.5,22590.35,22583.8,22564.3,0.12039926521036995,8,3,70.24,Very Strong
resistance,19660.5,2023-10-19 11:45:00,634,635,19660.5,19656.4,19641.95,19637.25,0.11825741969939726,12,5,70.24,Very Strong
resistance,25217.95,2025-10-13 13:15:00,2018,2019,25212.25,25217.95,25210.0,25187.75,0.11975596747555105,11,6,70.24,Very Strong
resistance,17688.6,2023-04-11 13:00:00,145,146,17688.6,17682.75,17682.8,17667.6,0.11872053186798277,31,4,70.24,Very Strong
resistance,22489.05,2024-04-01 12:00:00,713,714,22482.3,22489.05,22481.55,22462.2,0.11939143716608103,47,5,70.24,Very Strong
resistance,25452.75,2025-10-16 10:00:00,2082,2083,25452.75,25445.75,25434.55,25423.45,0.11511526259441228,8,3,70.23,Very Strong
resistance,24791.15,2025-09-29 10:30:00,1773,1774,24791.15,24775.65,24771.5,24763.25,0.11254016050082974,15,5,70.23,Very Strong
resistance,25060.2,2025-09-25 10:00:00,1719,1720,25060.2,25057.8,25054.35,25031.7,0.11372614743697176,27,5,70.23,Very Strong
resistance,17638.7,2023-04-06 13:00:00,93,94,17638.7,17636.15,17632.6,17618.45,0.11480437900752323,57,6,70.23,Very Strong
resistance,22500.75,2024-04-03 14:15:00,774,775,22497.35,22500.75,22494.95,22475.15,0.11377398531159424,30,4,70.23,Very Strong
resistance,25862.45,2025-10-20 10:15:00,2135,2136,25858.65,25862.45,25856.55,25832.9,0.1142583165941327,36,4,70.23,Very Strong
resistance,25199.05,2025-10-09 15:15:00,1974,1975,25199.05,25194.45,25177.7,25170.3,0.11409160265962406,26,6,70.23,Very Strong
resistance,25053.8,2024-10-10 13:15:00,1238,1239,25037.7,25053.8,25035.4,25025.3,0.11375519881215626,58,4,70.23,Very Strong
