type,price,datetime,prev_candle_idx,curr_candle_idx,prev_low,curr_low,prev_close,curr_close,retracement_pct,num_hits,num_reversals,strength_score,strength
support,19814.5,2023-10-17 10:30:00,577,578,19814.8,19814.5,19817.6,19832.9,0.09286128845038459,17,4,70.19,Very Strong
support,22459.7,2024-04-01 11:45:00,712,713,22459.7,22463.7,22467.25,22481.55,0.09728536000034971,43,6,70.19,Very Strong
support,25113.95,2024-10-14 12:30:00,1287,1288,25120.25,25113.95,25120.75,25137.7,0.09456895470445707,56,6,70.19,Very Strong
support,24942.35,2024-10-11 14:30:00,1269,1270,24942.35,24950.1,24950.4,24965.55,0.093014491417211,27,8,70.19,Very Strong
support,24959.9,2025-09-25 12:45:00,1730,1731,24959.9,24961.5,24962.35,24983.8,0.09575358875635645,14,4,70.19,Very Strong
support,25131.05,2025-10-09 11:30:00,1959,1960,25131.05,25140.95,25147.55,25154.4,0.09291295031446034,21,5,70.19,Very Strong
support,24636.95,2025-09-30 09:45:00,1796,1797,24645.5,24636.95,24649.85,24659.95,0.09335571164450145,21,3,70.19,Very Strong
support,19806.0,2023-10-12 11:00:00,501,502,19806.0,19813.75,19813.5,19824.45,0.09315358982126996,37,4,70.19,Very Strong
support,22486.55,2024-04-05 13:45:00,824,825,22486.55,22489.95,22494.65,22508.35,0.09694684155639381,9,5,70.19,Very Strong
support,22347.8,2024-04-03 09:30:00,755,756,22347.8,22358.0,22363.95,22369.15,0.09553513097487083,25,6,70.19,Very Strong
support,24771.05,2025-09-26 10:15:00,1746,1747,24774.75,24771.05,24780.5,24794.95,0.09648359677931075,31,3,70.19,Very Strong
support,22357.75,2024-04-15 11:15:00,944,945,22361.2,22357.75,22361.9,22378.75,0.09392716172244524,16,5,70.19,Very Strong
support,22415.15,2025-04-09 12:30:00,1625,1626,22419.4,22415.15,22421.0,22435.2,0.08944843108343807,10,6,70.18,Very Strong
support,17676.25,2023-04-11 11:45:00,140,141,17682.5,17676.25,17684.85,17691.85,0.08825401315323411,31,7,70.18,Very Strong
support,19515.35,2023-10-09 14:45:00,438,439,19515.35,19519.3,19521.15,19533.05,0.09069783529375969,15,4,70.18,Very Strong
support,22412.75,2024-04-02 14:45:00,750,751,22412.75,22420.45,22420.55,22433.25,0.09146579513892762,26,6,70.18,Very Strong
support,19604.35,2023-10-06 11:30:00,399,400,19604.35,19604.75,19606.5,19621.65,0.08824572097520658,16,7,70.18,Very Strong
support,17620.7,2023-04-17 09:30:00,209,210,17633.9,17620.7,17634.45,17636.6,0.0902347806840694,42,9,70.18,Very Strong
support,22149.95,2024-04-16 12:00:00,973,974,22165.9,22149.95,22166.15,22169.75,0.08939072097227882,9,5,70.18,Very Strong
support,25189.8,2025-10-07 14:00:00,1917,1918,25189.8,25192.8,25198.45,25212.55,0.09031433357946471,30,4,70.18,Very Strong
support,17586.1,2023-04-20 13:15:00,302,303,17586.1,17595.65,17597.85,17601.95,0.09012799881726014,20,7,70.18,Very Strong
